"file","nb_read_pairs","sample_ID","tags"
"16SV4_revcomp/16S_F515DI8-16S_R806DI7.R1.fastq.gz",132498,"D20H_d3_r3","F8 R7"
"16SV4_revcomp/16S_F515DI8-16S_R806DI8.R1.fastq.gz",5479,"unused_tags_8","F8 R8"
"16SV4_revcomp/16S_F515DI8-16S_R806DI9.R1.fastq.gz",194908,"D1H_d5_r2","F8 R9"
"16SV4_revcomp/16S_F515DI9-16S_R806DI10.R1.fastq.gz",232054,"H_d5_r5","F9 R10"
"16SV4_revcomp/16S_F515DI9-16S_R806DI11.R1.fastq.gz",185997,"D_d4_r5","F9 R11"
"16SV4_revcomp/16S_F515DI9-16S_R806DI12.R1.fastq.gz",5635,"unused_tags_25","F9 R12"
"16SV4_revcomp/16S_F515DI9-16S_R806DI1.R1.fastq.gz",23424,"unused_tags_13","F9 R1"
"16SV4_revcomp/16S_F515DI9-16S_R806DI2.R1.fastq.gz",10361,"HD_d4_r1","F9 R2"
"16SV4_revcomp/16S_F515DI9-16S_R806DI3.R1.fastq.gz",175002,"HD_d3_r2","F9 R3"
"16SV4_revcomp/16S_F515DI9-16S_R806DI4.R1.fastq.gz",8553,"D20H_d2_r5","F9 R4"
"16SV4_revcomp/16S_F515DI9-16S_R806DI5.R1.fastq.gz",230408,"HD_d2_r4","F9 R5"
"16SV4_revcomp/16S_F515DI9-16S_R806DI6.R1.fastq.gz",11894,"H_d2_r3","F9 R6"
"16SV4_revcomp/16S_F515DI9-16S_R806DI7.R1.fastq.gz",101334,"D10H_d3_r5","F9 R7"
"16SV4_revcomp/16S_F515DI9-16S_R806DI8.R1.fastq.gz",218410,"D10H_d3_r2","F9 R8"
"16SV4_revcomp/16S_F515DI9-16S_R806DI9.R1.fastq.gz",104328,"D20H_d3_r4","F9 R9"
